multiplex	node	score
Orpha_layer	ORPHA:319182	0.10935199182553855
Orpha_layer	ORPHA:589534	0.0003296415227546957
Orpha_layer	ORPHA:589595	0.0003296415227546957
Orpha_layer	ORPHA:585918	0.00031942112349800654
Orpha_layer	ORPHA:98831	0.00031942112349800654
Orpha_layer	ORPHA:98835	0.00031942112349800654
Orpha_layer	ORPHA:402017	0.00031942112349800654
Orpha_layer	HP:0001250	0.0002706329505407794
Orpha_layer	HP:0001249	0.00026988663151722724
Orpha_layer	HP:0004322	0.00026933579166906634
Orpha_layer	HP:0000252	0.00026700086051503405
Orpha_layer	HP:0000316	0.00026674766397842586
Orpha_layer	HP:0001252	0.0002647864707337056
Orpha_layer	HP:0000369	0.0002623723943164345
Orpha_layer	HP:0000218	0.0002623275063431084
Orpha_layer	HP:0000750	0.00026232167732459467
Orpha_layer	HP:0000431	0.00026208265529858765
Orpha_layer	HP:0004209	0.0002620816577286257
Orpha_layer	HP:0001511	0.0002620498009874318
Orpha_layer	HP:0000708	0.00026198665159220144
Orpha_layer	HP:0001508	0.00026178121420300304
Orpha_layer	HP:0000343	0.0002616115749859108
Orpha_layer	HP:0000508	0.00026138022980866013
Orpha_layer	HP:0011968	0.00026124015057036427
Orpha_layer	HP:0003196	0.00026108726226064627
Orpha_layer	HP:0009811	0.0002608064426914115
Orpha_layer	HP:0002750	0.00026044658815017375
Orpha_layer	HP:0000767	0.0002601109315626782
Orpha_layer	HP:0002020	0.0002597161242425976
Orpha_layer	HP:0000664	0.0002596163122317322
Orpha_layer	HP:0000324	0.00025944303822674234
Orpha_layer	HP:0000219	0.00025935551056394405
Orpha_layer	HP:0000718	0.0002593546407759288
Orpha_layer	HP:0002015	0.0002593295704827111
Orpha_layer	HP:0000348	0.0002593097261019151
Orpha_layer	HP:0000506	0.0002592972335167999
Orpha_layer	HP:0000574	0.0002592064940130059
Orpha_layer	HP:0000739	0.00025911007660134696
Orpha_layer	HP:0002194	0.0002589538375419385
Orpha_layer	HP:0000752	0.0002588385519364126
Orpha_layer	HP:0008897	0.000258797453860188
Orpha_layer	HP:0001273	0.0002587515635046468
Orpha_layer	HP:0000268	0.00025864481141841763
