multiplex	node	score	empty	multiplex	node	score	description
Rare_X_layer	Ogden syndrome	0.7238385621348087		Orpha_layer	ORPHA:276432	0.10878529336437304	Ogden syndrome
Rare_X_layer	Cognitive_Impairment_Symptom_Present	0.0010900983651672		Orpha_layer	ORPHA:568	0.0005183741695171589	Microphthalmia, Lenz type
Rare_X_layer	Coordination_Issues_Symptom_Present	0.0010834393663180298		Orpha_layer	HP:0000028	0.00042405188698425866	Cryptorchidism
Rare_X_layer	Abnormal_Muscle_Function_Symptom_Present	0.0010698367511613762		Orpha_layer	HP:0002007	0.0004205701250518095	Frontal bossing
Rare_X_layer	Hypotonia_Symptom_Present	0.0009826068909682914		Orpha_layer	HP:0000494	0.0004194858663724061	Downslanted palpebral fissures
Rare_X_layer	Difficulty_Nonverbal_Behaviors_Symptom_Present	0.0008414744735450991		Orpha_layer	HP:0025104	0.0004189882320161428	Capillary malformation
Rare_X_layer	PELHS Intellectual disability	0.0008238063712112114		Orpha_layer	HP:0000369	0.00041893262345569176	Low-set ears
Rare_X_layer	Issue_Muscle_Arms_Legs_Symptom_Present	0.0007352266396530201		Orpha_layer	HP:0001629	0.00041874622263007866	Ventricular septal defect
Rare_X_layer	Unusual_Movements_Symptom_Present	0.0007036541260418588		Orpha_layer	HP:0000708	0.00041830726811800586	Behavioral abnormality
Rare_X_layer	Hyperactivity_Symptom_Present	0.0006542892011894104		Orpha_layer	HP:0002119	0.00041794701133751383	Ventriculomegaly
Rare_X_layer	Visual_Impairment_Symptom_Present	0.0006512772300858957		Orpha_layer	HP:0000023	0.0004175914766143864	Inguinal hernia
Rare_X_layer	Short_Attention_Span_Symptom_Present	0.0006451494144363273		Orpha_layer	HP:0000341	0.0004175631407939296	Narrow forehead
Rare_X_layer	Temper_Tantrums_Symptom_Present	0.0006368340639528709		Orpha_layer	HP:0000729	0.0004167403999101368	Autistic behavior
Rare_X_layer	Aggressive_Violent_Behavior_Symptom_Present	0.0006295564110474919		Orpha_layer	HP:0000400	0.0004166423639316935	Macrotia
Rare_X_layer	PELHS Learning disability	0.0006120537958547313		Orpha_layer	HP:0001276	0.0004166058009372461	Hypertonia
Rare_X_layer	Difficulty_Making_Friends_Symptom_Present	0.0006082586045536301		Orpha_layer	HP:0000290	0.00041644243969178797	Abnormality of the forehead
Rare_X_layer	Unusual_Eye_Gaze_Symptom_Present	0.0005751138217310652		Orpha_layer	HP:0000280	0.00041605863883675153	Coarse facial features
Rare_X_layer	Impulsivity_Symptom_Present	0.0005656308657384818		Orpha_layer	HP:0011675	0.0004159946775868071	Arrhythmia
Rare_X_layer	Short_Stature_Symptom_Present	0.0005465224058240889		Orpha_layer	HP:0000520	0.00041576753190530967	Proptosis
Rare_X_layer	Prematurity_Symptom_Present	0.0005285023467482845		Orpha_layer	HP:0002194	0.0004157096349795422	Delayed gross motor development
Rare_X_layer	PELHS Visual impairment (other than refractive errors)	0.0005240177814393106		Orpha_layer	HP:0002705	0.0004155602004025848	High, narrow palate
