multiplex	node	score	multiplex	node	score	description	multiplex	node	score	description
1.0	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome	0.7299230371472053	2	ORPHA:444077	0.0731270573726575	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome	3.0	ORPHA:319182	1.7629379372619163e-06	Wiedemann-Steiner syndrome
1.0	241	0.036781998079561	2	HP:0001249	0.0003211845067257	Intellectual disability	3.0	ORPHA:391372	6.242448253447151e-07	Intellectual disability-severe speech delay-mild dysmorphism syndrome
1.0	182	0.0367808336169469	2	HP:0004322	0.0003209031587703	Short stature	3.0	ORPHA:544254	4.75789960975004e-07	SYNGAP1-related developmental and epileptic encephalopathy
1.0	541	0.0364961518575201	2	HP:0001263	0.0003191300406058	Global developmental delay	3.0	ORPHA:420179	4.654818659228703e-07	Malan overgrowth syndrome
1.0	218	0.0364961518575201	2	HP:0000463	0.0003107575165791	Anteverted nares	3.0	ORPHA:2131	3.859073607467634e-07	Alternating hemiplegia of childhood
1.0	Abnormal_Muscle_Function_Symptom_Present	0.0007622885114003	2	HP:0001513	0.0003088710961867	Obesity	3.0	ORPHA:276432	2.288369296764869e-07	Ogden syndrome
1.0	Short_Stature_Symptom_Present	0.0007450507578902	2	HP:0000664	0.0003076914416027	Synophrys	3.0	ORPHA:589534	7.558989750768979e-08	
1.0	Undergrowth_Symptom_Present	0.0007425713780402	2	HP:0002553	0.0003073731714868	Highly arched eyebrow	3.0	ORPHA:589595	7.558989750768979e-08	
1.0	Delivery_Complication_Symptom_Present	0.0007311429434546	2	HP:0000527	0.0003066191519801	Long eyelashes	3.0	ORPHA:585918	7.32391892480443e-08	
1.0	Decreased_Fetal_Movement_Symptom_Present	0.0007242851890947	2	HP:0002086	0.0003065980979995	Abnormality of the respiratory system	3.0	ORPHA:402017	7.32391892480443e-08	
1.0	Asthma_Symptom_Present	0.0007222142361552	2	HP:0011842	0.0003057991264015	Abnormal skeletal morphology	3.0	ORPHA:98831	7.32391892480443e-08	
1.0	Growth_Hormone_Deficiency_Symptom_Present	0.0007215940830791	2	HP:0000252	0.0002396485279785	Microcephaly	3.0	ORPHA:98835	7.32391892480443e-08	
1.0	Respitory_Abnormality_Symptom_Present	0.0007201447731876	2	HP:0001156	0.0002342777909939	Brachydactyly	3.0	ORPHA:52417	6.679481564593749e-08	MALT lymphoma
