multiplex	node	score	multiplex	node	score	description	multiplex	node	score	description
1.0	CASK-Related Disorders	0.731494379813504	2	ORPHA:319182	2.1804099683056536e-06	Wiedemann-Steiner syndrome	3.0	ORPHA:319182	2.1984573397556065e-06	Wiedemann-Steiner syndrome
1.0	239	0.0092374876164046	2	ORPHA:261494	1.0935187106413722e-06	Kleefstra syndrome	3.0	ORPHA:391372	1.0887671665841975e-06	Intellectual disability-severe speech delay-mild dysmorphism syndrome
1.0	513	0.0092330509865517	2	ORPHA:391372	1.0810804678592902e-06	Intellectual disability-severe speech delay-mild dysmorphism syndrome	3.0	ORPHA:420179	1.0339073372363182e-06	Malan overgrowth syndrome
1.0	279	0.0092314074432958	2	ORPHA:420179	9.99330675852853e-07	Malan overgrowth syndrome	3.0	ORPHA:544254	9.115825806861186e-07	SYNGAP1-related developmental and epileptic encephalopathy
1.0	87	0.0092176542674017	2	ORPHA:544254	9.14467120145855e-07	SYNGAP1-related developmental and epileptic encephalopathy	3.0	ORPHA:2131	6.343769099333053e-07	Alternating hemiplegia of childhood
1.0	228	0.0092149373216517	2	ORPHA:464306	7.219403024812753e-07	DYRK1A-related intellectual disability syndrome	3.0	ORPHA:276432	3.6996049187110636e-07	Ogden syndrome
1.0	153	0.0091967180532489	2	ORPHA:2131	6.254943901682204e-07	Alternating hemiplegia of childhood	3.0	ORPHA:561	1.2163620809407786e-07	Marshall-Smith syndrome
1.0	442	0.0091867645912668	2	ORPHA:276432	3.652737269678651e-07	Ogden syndrome	3.0	ORPHA:447980	1.2163620809407786e-07	19p13.3 microduplication syndrome
1.0	352	0.0091845305414324	2	ORPHA:96092	3.371541454650189e-07	8p inverted duplication/deletion syndrome	3.0	ORPHA:52417	1.1649942905667086e-07	MALT lymphoma
1.0	166	0.0091841664664247	2	ORPHA:289494	3.212341034778389e-07	4H leukodystrophy	3.0	ORPHA:585877	1.1548578276151126e-07	
1.0	236	0.0091673464387426	2	ORPHA:884	2.969293838514225e-07	Tetrasomy 12p	3.0	ORPHA:589595	9.426760487126845e-08	
1.0	89	0.0091601839666154	2	ORPHA:96169	2.5455994377466296e-07	Koolen-De Vries syndrome	3.0	ORPHA:589534	9.426760487126845e-08	
1.0	215	0.0091571201368049	2	ORPHA:85279	2.313721776760216e-07	KDM5C-related syndromic X-linked intellectual disability	3.0	ORPHA:402017	9.133264130078857e-08	
1.0	125	0.0091559769107884	2	ORPHA:394	1.1889053133821977e-07	Classic homocystinuria	3.0	ORPHA:585918	9.133264130078857e-08	
1.0	120	0.009155935946962	2	ORPHA:444077	8.300798045743386e-08	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome	3.0	ORPHA:98835	9.133264130078857e-08	
1.0	438	0.0091436797476498	2	HP:0000750	4.0843789874871956e-08	Delayed speech and language development	3.0	ORPHA:98831	9.133264130078857e-08	
1.0	127	0.0091436797476498	2	HP:0000708	2.9807609415585534e-08	Atypical behavior	3.0	ORPHA:442835	8.478082993873633e-08	Non-specific early-onset epileptic encephalopathy
1.0	298	0.0091436797476498	2	HP:0001250	2.8399371550517154e-08	Seizure	3.0	ORPHA:568	7.478897106280979e-08	Microphthalmia, Lenz type
1.0	240	0.0091436797476498	2	HP:0001252	2.813594935850317e-08	Hypotonia	3.0	ORPHA:178469	6.436111156119306e-08	
1.0	368	0.0091436797476498	2	HP:0010864	2.7715293040354705e-08	Intellectual disability, severe	3.0	ORPHA:1942	6.378347129865346e-08	Myoclonic-astatic epilepsy
1.0	370	0.0091436797476498	2	HP:0001249	2.5263158674746426e-08	Intellectual disability	3.0	ORPHA:569	1.949952512126212e-08	Familial or sporadic hemiplegic migraine
1.0	372	0.0091436797476498	2	HP:0001263	2.3150575760628612e-08	Global developmental delay	3.0	ORPHA:2382	1.9252010146900106e-08	Lennox-Gastaut syndrome
1.0	148	0.0091436797476498	2	HP:0000316	2.1752829817863503e-08	Hypertelorism	3.0	ORPHA:98758	1.7395525558494747e-08	Spinocerebellar ataxia type 6
1.0	382	0.0091436797476498	2	HP:0000252	2.0615232505969917e-08	Microcephaly	3.0	ORPHA:97	1.7395525558494747e-08	Familial paroxysmal ataxia
1.0	376	0.0091436797476498	2	HP:0000739	2.0465427319011695e-08	Anxiety	3.0	ORPHA:71518	1.7395525558494747e-08	Benign paroxysmal torticollis of infancy
1.0	Coordination_Issues_Symptom_Present	0.0020305405681002	2	HP:0000729	1.8986643896965833e-08	Autistic behavior	3.0	ORPHA:1171	1.6427425472364475e-08	Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome
1.0	Cognitive_Impairment_Symptom_Present	0.0018559960377063	2	HP:0004322	1.8775517877949495e-08	Short stature	3.0	ORPHA:71517	1.6427425472364475e-08	Rapid-onset dystonia-parkinsonism
1.0	Bruxism_Symptom_Present	0.0015524519144476	2	HP:0005616	1.7672313031800672e-08	Accelerated skeletal maturation	3.0	ORPHA:209967	1.409727435041394e-08	Episodic ataxia type 6
1.0	PELHS Microcephaly (<5th percentile)	0.0013594817552333	2	HP:0011968	1.7438439168016752e-08	Feeding difficulties	3.0	ORPHA:520	7.014679803801437e-09	Acute promyelocytic leukemia
1.0	Hypotonia_Symptom_Present	0.0012189353519761	2	HP:0003196	1.7330431015253183e-08	Short nose	3.0	ORPHA:545	6.723060546104354e-09	Follicular lymphoma
1.0	Abnormal_Muscle_Function_Symptom_Present	0.0011194694182703	2	HP:0000486	1.696612434098017e-08	Strabismus	3.0	ORPHA:52416	6.611276205695416e-09	Mantle cell lymphoma
1.0	PELHS Intellectual disability	0.0011045194700974	2	HP:0000718	1.6779748775919146e-08	Aggressive behavior	3.0	ORPHA:457246	6.339163325200417e-09	
1.0	Hypertonia_Symptom_Present	0.0008813567453665	2	HP:0000767	1.6564033875282862e-08	Pectus excavatum	3.0	ORPHA:585948	6.137013367276159e-09	
1.0	Short_Stature_Symptom_Present	0.0008757328214067	2	HP:0000218	1.6421576762910823e-08	High palate	3.0	ORPHA:44890	5.9162198453221535e-09	Gastrointestinal stromal tumor
1.0	Undergrowth_Symptom_Present	0.0007984674515583	2	HP:0001508	1.6027448723586712e-08	Failure to thrive	3.0	ORPHA:314950	5.8393208137134244e-09	
1.0	Esophagus_Issues_Symptom_Present	0.0007921373384461	2	HP:0002342	1.6001142518870583e-08	Intellectual disability, moderate	3.0	ORPHA:397964	5.824958047911861e-09	
1.0	Farsightedness_Symptom_Present	0.0007791715333178	2	HP:0000324	1.5965780852072798e-08	Facial asymmetry	3.0	ORPHA:2712	5.82362941510541e-09	Oculofaciocardiodental syndrome
1.0	Abnormal_EEG_Symptom_Present	0.0007376899826757	2	HP:0000348	1.554111331469184e-08	High forehead	3.0	ORPHA:199306	5.7389860761790015e-09	Cleft lip/palate
1.0	Abnormal_Optic_Nerve_Symptom_Present	0.000685905407071	2	HP:0011220	1.5400221655498972e-08	Prominent forehead	3.0	ORPHA:99861	5.578586292459325e-09	
1.0	PELHS Visual impairment (other than refractive errors)	0.0006466314863404	2	HP:0002119	1.4648137982356278e-08	Ventriculomegaly	3.0	ORPHA:168940	5.543907924321863e-09	
1.0	Issue_Muscle_Arms_Legs_Symptom_Present	0.000616403131365	2	HP:0000733	1.4517441558266351e-08	Abnormal repetitive mannerisms	3.0	ORPHA:168947	5.408886124412556e-09	
1.0	PELHS Movement disorder	0.0005941334534223	2	HP:0000508	1.4252414052845031e-08	Ptosis	3.0	ORPHA:98834	5.108948496197261e-09	
1.0	PELHS Wheelchair	0.0005792308935261	2	HP:0002015	1.406552182679675e-08	Dysphagia	3.0	ORPHA:102724	4.998223660643202e-09	
