layer	node	score	empty	layer	node	score	description
RareX_layer	CACNA1A related disorders	0.7154106386809097		Orphanet_layer	ORPHA:319182	3.3510647626843046e-06	Wiedemann-Steiner syndrome
RareX_layer	Hypotonia_Symptom_Present	0.0024389750290017		Orphanet_layer	ORPHA:420179	2.3204834137700147e-06	Malan overgrowth syndrome
RareX_layer	Coordination_Issues_Symptom_Present	0.0023683448937661		Orphanet_layer	ORPHA:544254	2.26948289557724e-06	SYNGAP1-related developmental and epileptic encephalopathy
RareX_layer	CSHQ Subscale 2: Sleep onset Delay	0.0018342424739943		Orphanet_layer	ORPHA:391372	2.1626012833295373e-06	Intellectual disability-severe speech delay-mild dysmorphism syndrome
RareX_layer	Abnormal_Eye_Movement_Symptom_Present	0.0017749752587601		Orphanet_layer	ORPHA:2131	1.7071924851604017e-06	Alternating hemiplegia of childhood
RareX_layer	Abnormal_Muscle_Function_Symptom_Present	0.0016249337992341		Orphanet_layer	ORPHA:261494	1.677470579044234e-06	Kleefstra syndrome
RareX_layer	Cognitive_Impairment_Symptom_Present	0.0015966454059225		Orphanet_layer	ORPHA:464306	1.0617090069747846e-06	DYRK1A-related intellectual disability syndrome
RareX_layer	CSHQ Subscale 6: Parasomnias	0.0015537497219948		Orphanet_layer	ORPHA:96092	8.521984699536844e-07	8p inverted duplication/deletion syndrome
RareX_layer	CSHQ Subscale 1: Bedtime Resistance	0.0014919001093505		Orphanet_layer	ORPHA:85279	8.19724040116389e-07	KDM5C-related syndromic X-linked intellectual disability
RareX_layer	CSHQ Subscale 4: Sleep Anxiety	0.0014824086466565		Orphanet_layer	ORPHA:276432	7.264506501445095e-07	Ogden syndrome
RareX_layer	CSHQ Subscale 5: Night Wakings	0.0014513176485631		Orphanet_layer	ORPHA:289494	4.951071379033928e-07	4H leukodystrophy
RareX_layer	Headaches_Migraines_Symptom_Present	0.0013728370909018		Orphanet_layer	ORPHA:96169	4.67012333222238e-07	Koolen-De Vries syndrome
RareX_layer	CSHQ Subscale 3: Sleep Duration	0.0013225091548871		Orphanet_layer	ORPHA:394	4.4300845835406603e-07	Classic homocystinuria
RareX_layer	CSHQ Subscale 8: Daytime Sleepiness	0.0012647389540093		Orphanet_layer	ORPHA:884	4.3237426787605597e-07	Tetrasomy 12p
RareX_layer	Seizures_Symptom_Present	0.0012047008848701		Orphanet_layer	ORPHA:444077	1.197298374170373e-07	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome
RareX_layer	Abnormal_EEG_Symptom_Present	0.0010860930566773		Orphanet_layer	HP:0000750	5.616331802545773e-08	Delayed speech and language development
RareX_layer	CSHQ Subscale 7: Sleep Disordered Breathing	0.0010128806516172		Orphanet_layer	HP:0010864	4.2698330754080335e-08	Intellectual disability, severe
RareX_layer	PELHS Migraines	0.0009999476955696		Orphanet_layer	HP:0001250	4.0259456485520155e-08	Seizure
RareX_layer	Constipation_Symptom_Present	0.0009696342411052		Orphanet_layer	HP:0000708	3.836330365665927e-08	Atypical behavior
RareX_layer	Temper_Tantrums_Symptom_Present	0.0009511541834703		Orphanet_layer	HP:0001249	3.5694674263275745e-08	Intellectual disability
RareX_layer	Unusual_Movements_Symptom_Present	0.00094386089316		Orphanet_layer	HP:0001252	3.4803164506802785e-08	Hypotonia
