layer	node	score	empty	layer	node	score	description
RareX_layer	Classic homocystinuria	0.7410708834994876		Orphanet_layer	ORPHA:394	0.1112897000210589	Classic homocystinuria
RareX_layer	CSHQ Subscale 2: Sleep onset Delay	0.0008107923664842		Orphanet_layer	HP:0001249	0.0005959667539795	Intellectual disability
RareX_layer	CSHQ Subscale 4: Sleep Anxiety	0.0007787065041396		Orphanet_layer	HP:0001166	0.0005856094384287	Arachnodactyly
RareX_layer	CSHQ Subscale 6: Parasomnias	0.000762316943944		Orphanet_layer	HP:0000939	0.0005846261098527	Osteoporosis
RareX_layer	CSHQ Subscale 1: Bedtime Resistance	0.0006865305308229		Orphanet_layer	HP:0001083	0.0005842341727564	Ectopia lentis
RareX_layer	CSHQ Subscale 5: Night Wakings	0.0006495793311139		Orphanet_layer	HP:0004337	0.000584217030082	Abnormality of amino acid metabolism
RareX_layer	CSHQ Subscale 8: Daytime Sleepiness	0.0006038376459229		Orphanet_layer	HP:0002757	0.0005838126340791	Recurrent fractures
RareX_layer	CSHQ Subscale 7: Sleep Disordered Breathing	0.0006013006639078		Orphanet_layer	HP:0001519	0.0005835107360829	Disproportionate tall stature
RareX_layer	CSHQ Subscale 3: Sleep Duration	0.000584639936458		Orphanet_layer	HP:0000678	0.0005827569720141	Dental crowding
RareX_layer	Abnormal_Muscle_Function_Symptom_Present	0.0004880496212435		Orphanet_layer	HP:0002650	0.0004456972514872	Scoliosis
RareX_layer	Feeding_Difficulties_Symptom_Present	0.0004596905396772		Orphanet_layer	HP:0000545	0.000441871002071	Myopia
RareX_layer	Heart_Defect_Symptom_Present	0.0004511750305002		Orphanet_layer	HP:0001387	0.000440994385151	Joint stiffness
RareX_layer	Abnormal_EKG_Symptom_Present	0.0004488423841593		Orphanet_layer	HP:0002808	0.0004403262971095	Kyphosis
RareX_layer	Cafe_Au_Lait_Spots_Symptom_Present	0.0004477965329451		Orphanet_layer	HP:0000822	0.0004398896065761	Hypertension
RareX_layer	Coordination_Issues_Symptom_Present	0.0001996957778977		Orphanet_layer	HP:0100026	0.0004395352091334	Arteriovenous malformation
RareX_layer	Abnormal_EEG_Symptom_Present	0.0001912767562578		Orphanet_layer	HP:0002204	0.0004394421119805	Pulmonary embolism
RareX_layer	Seizures_Symptom_Present	0.0001900662015733		Orphanet_layer	HP:0004936	0.0004394201412602	Venous thrombosis
RareX_layer	Hyperactivity_Symptom_Present	0.0001859262647831		Orphanet_layer	HP:0000767	0.0004391886446442	Pectus excavatum
RareX_layer	OCD_Symptom_Present	0.0001803872912735		Orphanet_layer	HP:0000768	0.0004388420280861	Pectus carinatum
RareX_layer	Bruxism_Symptom_Present	0.0001795648865361		Orphanet_layer	HP:0002209	0.0004385352646216	Sparse scalp hair
RareX_layer	Abnormal_Optic_Nerve_Symptom_Present	0.0001794824769094		Orphanet_layer	HP:0002857	0.0004384879607598	Genu valgum
