multiplex	node	score
Rare_X_layer	CACNA1A related disorders	0.7198287103825344
Rare_X_layer	446	0.004280897178547493
Rare_X_layer	477	0.004256069099261742
Rare_X_layer	646	0.004243202157766015
Rare_X_layer	107	0.00424246090444245
Rare_X_layer	42	0.00423443372250521
Rare_X_layer	669	0.004229919121694855
Rare_X_layer	119	0.004229456009418069
Rare_X_layer	113	0.004225211295626126
Rare_X_layer	316	0.004223769503979584
Rare_X_layer	602	0.00422194920083938
Rare_X_layer	683	0.004218961749051298
Rare_X_layer	536	0.004218369420478238
Rare_X_layer	111	0.004214135164291425
Rare_X_layer	291	0.004213362345405516
Rare_X_layer	421	0.004208660771518782
Rare_X_layer	593	0.004201325005362936
Rare_X_layer	19	0.0041999385890269724
Rare_X_layer	41	0.0041977949865239375
Rare_X_layer	538	0.004195164101726333
Rare_X_layer	559	0.00419484334233452
Rare_X_layer	533	0.004193486037713806
Rare_X_layer	670	0.004192197543387987
Rare_X_layer	385	0.004191036924019791
Rare_X_layer	425	0.004189694740904223
Rare_X_layer	724	0.004187853210065262
Rare_X_layer	278	0.00418665359623225
Rare_X_layer	472	0.004186085916356679
Rare_X_layer	117	0.004185902175870466
Rare_X_layer	473	0.004184949541791383
Rare_X_layer	44	0.004184113645046747
Rare_X_layer	110	0.004181816385974787
Rare_X_layer	675	0.00418107817727569
Rare_X_layer	598	0.004179104785677881
Rare_X_layer	535	0.004178320385897854
Rare_X_layer	124	0.004177793712789637
Rare_X_layer	112	0.004174171762893005
Rare_X_layer	114	0.004171521471914209
Rare_X_layer	178	0.004171469693626754
Rare_X_layer	108	0.00416993610560437
Rare_X_layer	515	0.004152857944502043
Rare_X_layer	420	0.004152857944502043
Rare_X_layer	192	0.004152857944502043
Rare_X_layer	457	0.004152857944502043
Rare_X_layer	118	0.004152857944502043
Rare_X_layer	433	0.004152857944502043
Rare_X_layer	488	0.004152857944502043
Rare_X_layer	429	0.004152857944502043
Rare_X_layer	486	0.004152857944502043
Rare_X_layer	36	0.004152857944502043
Rare_X_layer	48	0.004152857944502043
Rare_X_layer	484	0.004152857944502043
Rare_X_layer	266	0.004152857944502043
Rare_X_layer	Hypotonia_Symptom_Present	0.0028949026757373064
Rare_X_layer	Coordination_Issues_Symptom_Present	0.002806853771994418
Rare_X_layer	Abnormal_Eye_Movement_Symptom_Present	0.002205866766472531
Rare_X_layer	Abnormal_Muscle_Function_Symptom_Present	0.0019152271837830056
Rare_X_layer	Cognitive_Impairment_Symptom_Present	0.0018610795618374545
Rare_X_layer	Headaches_Migraines_Symptom_Present	0.0016749227663680638
Rare_X_layer	Seizures_Symptom_Present	0.0014726796721506656
Rare_X_layer	Abnormal_EEG_Symptom_Present	0.0013874885848787375
Rare_X_layer	PELHS Migraines	0.0013018743914974785
Rare_X_layer	Unusual_Movements_Symptom_Present	0.001132139591963024
Rare_X_layer	Constipation_Symptom_Present	0.0011245447244149446
Rare_X_layer	Temper_Tantrums_Symptom_Present	0.001056081611970009
