multiplex	node	score	empty	multiplex	node	score	description
Rare_X_layer	DYRK1A-related intellectual disability syndrome	0.7313992944144668		Orpha_layer	ORPHA:464306	0.1097879166508857	DYRK1A-related intellectual disability syndrome
Rare_X_layer	ASD_Symptom_Present	0.0009623427861402		Orpha_layer	HP:0001249	0.0004501583387345	Intellectual disability
Rare_X_layer	Undergrowth_Symptom_Present	0.0007869754828651		Orpha_layer	HP:0001263	0.0004493126658588	Global developmental delay
Rare_X_layer	Unusual_Eye_Gaze_Symptom_Present	0.0007837160609278		Orpha_layer	HP:0000252	0.0004458450998824	Microcephaly
Rare_X_layer	Constipation_Symptom_Present	0.0007284434235867		Orpha_layer	HP:0000750	0.0004397014515713	Delayed speech and language development
Rare_X_layer	Repetitive_Stereotypic_Behavior_Symptom_Present	0.0006666221996135		Orpha_layer	HP:0001999	0.0004391202207419	Abnormal facial shape
Rare_X_layer	Abnormal_Muscle_Function_Symptom_Present	0.0005866446654188		Orpha_layer	HP:0011968	0.0004374865696134	Feeding difficulties
Rare_X_layer	Short_Stature_Symptom_Present	0.0005301272519006		Orpha_layer	HP:0001288	0.0004352802270394	Gait disturbance
Rare_X_layer	PELHS Microcephaly (<5th percentile)	0.0005205651780058		Orpha_layer	HP:0003086	0.000431579304699	Acromesomelia
Rare_X_layer	Feeding_Difficulties_Symptom_Present	0.0005059476729709		Orpha_layer	HP:0001250	0.0003408280974858	Seizure
Rare_X_layer	Impulsivity_Symptom_Present	0.000480944141682		Orpha_layer	HP:0001508	0.0003304461854509	Failure to thrive
Rare_X_layer	Abnormal_Optic_Nerve_Symptom_Present	0.0004651123118374		Orpha_layer	HP:0001511	0.0003300136394585	Intrauterine growth retardation
Rare_X_layer	Hyperactivity_Symptom_Present	0.0004584225482179		Orpha_layer	HP:0000708	0.0003297871917867	Atypical behavior
Rare_X_layer	Esophagus_Issues_Symptom_Present	0.0004576995278973		Orpha_layer	HP:0002119	0.0003293017498688	Ventriculomegaly
Rare_X_layer	Cognitive_Impairment_Symptom_Present	0.000451037207039		Orpha_layer	HP:0000729	0.0003280751706209	Autistic behavior
Rare_X_layer	Short_Attention_Span_Symptom_Present	0.0004115646834663		Orpha_layer	HP:0000505	0.0003270612209879	Visual impairment
Rare_X_layer	Umbilical_Cord_Issue_Symptom_Present	0.0004026324004511		Orpha_layer	HP:0002465	0.0003262855145656	Poor speech
Rare_X_layer	PELHS Intellectual disability	0.0003963887688766		Orpha_layer	HP:0000739	0.0003261415346172	Anxiety
Rare_X_layer	PELHS Autism/PDD	0.000390160819821		Orpha_layer	HP:0001518	0.0003259476945242	Small for gestational age
Rare_X_layer	Difficulty_Nonverbal_Behaviors_Symptom_Present	0.0003857890666606		Orpha_layer	HP:0000733	0.0003258660331583	Abnormal repetitive mannerisms
Rare_X_layer	Abnormal_Eye_Movement_Symptom_Present	0.000370921336235		Orpha_layer	HP:0011451	0.0003248149754585	Primary microcephaly
